language,en-US,AAPL
fiftyTwoWeekRange,102.05 - 147.22,ABBV
fiftyTwoWeekHighChange,-1.3500061,ABBV
displayName,AbbVie,ABBV
symbol,ABBV,ABBV
language,en-US,ABNB
region,US,ABNB
quoteType,EQUITY,ABNB
quoteSourceName,Nasdaq Real Time Price,ABNB
triggerable,True,ABNB
currency,USD,ABNB
exchange,NMS,ABNB
shortName,"Airbnb, Inc.",ABNB
longName,"Airbnb, Inc.",ABNB
messageBoardId,finmb_115705393,ABNB
exchangeTimezoneName,America/New_York,ABNB
exchangeTimezoneShortName,EST,ABNB
gmtOffSetMilliseconds,-18000000,ABNB
market,us_market,ABNB
esgPopulated,False,ABNB
marketState,POST,ABNB
epsTrailingTwelveMonths,-7.886,ABNB
epsForward,1.67,ABNB
epsCurrentYear,0.97,ABNB
priceEpsCurrentYear,192.41237,ABNB
sharesOutstanding,346824000,ABNB
bookValue,7.111,ABNB
fiftyDayAverage,163.745,ABNB
fiftyDayAverageChange,22.895004,ABNB
fiftyDayAverageChangePercent,0.1398211,ABNB
twoHundredDayAverage,159.8974,ABNB
twoHundredDayAverageChange,26.7426,ABNB
twoHundredDayAverageChangePercent,0.1672485,ABNB
marketCap,118588997632,ABNB
forwardPE,111.76048,ABNB
priceToBook,26.24666,ABNB
sourceInterval,15,ABNB
exchangeDataDelayedBy,0,ABNB
pageViewGrowthWeekly,0.82604283,ABNB
ipoExpectedDate,2020-12-10,ABNB
averageAnalystRating,2.5 - Buy,ABNB
tradeable,False,ABNB
firstTradeDateMilliseconds,1607610600000,ABNB
priceHint,2,ABNB
postMarketChangePercent,-0.23038614,ABNB
postMarketTime,1645051716,ABNB
postMarketPrice,186.21,ABNB
postMarketChange,-0.42999268,ABNB
regularMarketChange,6.569992,ABNB
regularMarketChangePercent,3.6485765,ABNB
regularMarketTime,1645045203,ABNB
regularMarketPrice,186.64,ABNB
regularMarketDayHigh,191.73,ABNB
regularMarketDayRange,178.1652 - 191.73,ABNB
regularMarketDayLow,178.1652,ABNB
regularMarketVolume,22216845,ABNB
regularMarketPreviousClose,180.07,ABNB
bid,186.2,ABNB
ask,186.5,ABNB
bidSize,8,ABNB
askSize,9,ABNB
fullExchangeName,NasdaqGS,ABNB
financialCurrency,USD,ABNB
regularMarketOpen,178.295,ABNB
averageDailyVolume3Month,6022811,ABNB
averageDailyVolume10Day,5795230,ABNB
fiftyTwoWeekLowChange,56.929993,ABNB
fiftyTwoWeekLowChangePercent,0.43890208,ABNB
fiftyTwoWeekRange,129.71 - 215.49,ABNB
fiftyTwoWeekHighChange,-28.850006,ABNB
fiftyTwoWeekHighChangePercent,-0.13388094,ABNB
fiftyTwoWeekLow,129.71,ABNB
fiftyTwoWeekHigh,215.49,ABNB
earningsTimestamp,1644958800,ABNB
earningsTimestampStart,1652299200,ABNB
earningsTimestampEnd,1652731200,ABNB
trailingAnnualDividendRate,0.0,ABNB
trailingAnnualDividendYield,0.0,ABNB
displayName,Airbnb,ABNB
symbol,ABNB,ABNB
language,en-US,AMC
region,US,AMC
quoteType,EQUITY,AMC
quoteSourceName,Nasdaq Real Time Price,AMC
